epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,330.544,2.04025,1.25439,1.65593,0.57363,0.7193,0.6591,0.2577,1.90379,1.16337,1.70065,0.0005644,0.0005644,0.0005644
46,337.528,2.0265,1.26173,1.65817,0.5787,0.67652,0.65934,0.257,1.93177,1.14708,1.68988,0.0005545,0.0005545,0.0005545
47,344.517,2.09639,1.21623,1.62319,0.54622,0.61945,0.64026,0.25946,1.94182,1.15888,1.68244,0.0005446,0.0005446,0.0005446
48,351.351,2.03231,1.21275,1.61999,0.55519,0.62968,0.68532,0.29357,1.94777,1.2014,1.69951,0.0005347,0.0005347,0.0005347
49,358.477,1.98221,1.24589,1.63904,0.51326,0.67033,0.67946,0.28545,1.93183,1.1805,1.70328,0.0005248,0.0005248,0.0005248
50,365.319,2.02133,1.17582,1.59574,0.64122,0.71289,0.70379,0.28352,1.94515,1.14188,1.70406,0.0005149,0.0005149,0.0005149
51,372.273,1.97928,1.18588,1.57452,0.56307,0.64255,0.6087,0.23366,2.05671,1.21411,1.73443,0.000505,0.000505,0.000505
52,379.327,2.01935,1.19279,1.65571,0.56485,0.73948,0.64195,0.27388,1.92738,1.16788,1.66538,0.0004951,0.0004951,0.0004951
53,386.612,2.03108,1.18068,1.65021,0.59883,0.70519,0.65784,0.26305,1.87664,1.15843,1.63464,0.0004852,0.0004852,0.0004852
54,393.63,2.07978,1.18471,1.66282,0.6141,0.73746,0.67992,0.27264,1.85563,1.11521,1.62406,0.0004753,0.0004753,0.0004753
55,400.447,1.98172,1.16247,1.64652,0.56919,0.60207,0.62925,0.27603,1.85213,1.10095,1.62722,0.0004654,0.0004654,0.0004654
56,407.421,1.98088,1.20475,1.68189,0.57695,0.63334,0.66936,0.25325,1.94539,1.13354,1.68771,0.0004555,0.0004555,0.0004555
57,414.223,1.92784,1.13748,1.59852,0.59858,0.58349,0.68076,0.26991,1.93696,1.15046,1.68876,0.0004456,0.0004456,0.0004456
58,421.156,1.99297,1.17371,1.55172,0.62347,0.5797,0.65411,0.26266,1.88497,1.12078,1.65167,0.0004357,0.0004357,0.0004357
59,427.962,1.99161,1.15533,1.61979,0.63574,0.57166,0.65864,0.25725,1.95423,1.15228,1.68465,0.0004258,0.0004258,0.0004258
60,434.962,1.96239,1.12601,1.59275,0.69473,0.74856,0.70081,0.2833,1.88333,1.10391,1.63984,0.0004159,0.0004159,0.0004159
61,441.914,1.92677,1.08512,1.52685,0.65853,0.77234,0.69761,0.2787,1.87242,1.10725,1.63211,0.000406,0.000406,0.000406
62,449.205,1.93865,1.11475,1.55745,0.51496,0.7187,0.65298,0.272,1.9402,1.11948,1.6768,0.0003961,0.0003961,0.0003961
63,456.136,1.88416,1.06676,1.54136,0.66181,0.58183,0.70583,0.28631,1.90672,1.09197,1.66607,0.0003862,0.0003862,0.0003862
64,462.954,1.90851,1.11105,1.55315,0.52639,0.71031,0.67075,0.28739,1.9148,1.09487,1.66761,0.0003763,0.0003763,0.0003763
65,469.862,1.88476,1.0921,1.60069,0.51705,0.69121,0.65727,0.29,1.93041,1.12316,1.6735,0.0003664,0.0003664,0.0003664
66,476.688,1.91764,1.1203,1.59816,0.57853,0.75651,0.66751,0.28605,1.94238,1.13899,1.68191,0.0003565,0.0003565,0.0003565
67,483.658,1.90637,1.09434,1.53988,0.60044,0.75211,0.69008,0.28391,1.961,1.11521,1.69258,0.0003466,0.0003466,0.0003466
68,490.499,1.90254,1.09326,1.51648,0.66337,0.738,0.72732,0.29792,1.95283,1.06357,1.67508,0.0003367,0.0003367,0.0003367
69,497.761,1.90068,1.0786,1.5471,0.66401,0.76187,0.73629,0.30146,1.91726,1.06457,1.65859,0.0003268,0.0003268,0.0003268
